File: hasher.test
Type: alloc_space
Time: May 2, 2024 at 11:49pm (MSK)
Showing nodes accounting for -106.53MB, 34.86% of 305.57MB total
Dropped 36 nodes (cum <= 1.53MB)
      flat  flat%   sum%        cum   cum%
  -94.01MB 30.77% 30.77%   -94.01MB 30.77%  crypto/sha256.New
  -79.01MB 25.86% 56.62%  -173.02MB 56.62%  crypto/hmac.New
   29.50MB  9.65% 46.97%    29.50MB  9.65%  encoding/hex.EncodeToString (inline)
       7MB  2.29% 44.67%        7MB  2.29%  bytes.growSlice
       6MB  1.96% 42.71%     7.50MB  2.45%  net/textproto.MIMEHeader.Set (inline)
       5MB  1.64% 41.07%        5MB  1.64%  crypto/sha256.(*digest).Sum
       5MB  1.64% 39.44%        5MB  1.64%  net/textproto.readMIMEHeader
   -4.50MB  1.47% 40.91%    -4.50MB  1.47%  net/textproto.MIMEHeader.Add (inline)
       4MB  1.31% 39.60%        4MB  1.31%  io.ReadAll
       4MB  1.31% 38.29%     4.50MB  1.47%  net/http.NewRequestWithContext
    3.50MB  1.15% 37.15%     3.50MB  1.15%  net/http.Header.Clone (inline)
    2.50MB  0.82% 36.33%     2.50MB  0.82%  net/url.parse
    2.50MB  0.82% 35.51%     2.50MB  0.82%  net/http.(*Transport).getConn
       2MB  0.65% 34.86%        4MB  1.31%  net/http.ReadResponse
       2MB  0.65% 34.20%        2MB  0.65%  net/textproto.canonicalMIMEHeaderKey
   -1.50MB  0.49% 34.69%    -1.50MB  0.49%  net/http.(*transportRequest).extraHeaders (inline)
      -1MB  0.33% 35.02%     4.50MB  1.47%  net/http.(*conn).readRequest
       1MB  0.33% 34.69%        1MB  0.33%  net/http.setupRewindBody (inline)
      -1MB  0.33% 35.02%        5MB  1.64%  net/http.readRequest
      -1MB  0.33% 35.35%       -1MB  0.33%  net/http.newTransferWriter
       1MB  0.33% 35.02%        1MB  0.33%  github.com/go-resty/resty/v2.init.func1
      -1MB  0.33% 35.35%       -1MB  0.33%  github.com/go-resty/resty/v2.newRequestBodyReleaser (inline)
       1MB  0.33% 35.02%     2.50MB  0.82%  net/http.(*Client).makeHeadersCopier
   -0.53MB  0.17% 35.19%    -0.53MB  0.17%  net.open
    0.52MB  0.17% 35.02%     0.52MB  0.17%  regexp.(*bitState).reset
